transaction_id,parent,parent_type,child,child_type,rel_type,date
2153-12_tr_01,Government of Sri Lanka,government,Minister of Defence,minister,AS_MINISTER,2019-12-10
2153-12_tr_02,Government of Sri Lanka,government,"Minister of Finance, Economic and Policy Development",minister,AS_MINISTER,2019-12-10
2153-12_tr_03,Government of Sri Lanka,government,"Minister of Buddhasasana, Cultural and Religious Affairs",minister,AS_MINISTER,2019-12-10
2153-12_tr_04,Government of Sri Lanka,government,"Minister of Urban Development, Water Supply and Housing Facilities",minister,AS_MINISTER,2019-12-10
2153-12_tr_05,Government of Sri Lanka,government,"Minister of Justice, Human Rights & Law Reforms",minister,AS_MINISTER,2019-12-10
2153-12_tr_06,Government of Sri Lanka,government,Minister of Community Empowerment and Estate Infrastructure Development,minister,AS_MINISTER,2019-12-10
2153-12_tr_07,Government of Sri Lanka,government,Minister of Foreign Relations,minister,AS_MINISTER,2019-12-10
2153-12_tr_08,Government of Sri Lanka,government,"Minister of Skills Development, Employment and Labour Relations ",minister,AS_MINISTER,2019-12-10
2153-12_tr_09,Government of Sri Lanka,government,Minister of Fisheries & Aquatic Resources,minister,AS_MINISTER,2019-12-10
2153-12_tr_10,Government of Sri Lanka,government,Minister of Women & Child Affairs and Social Security,minister,AS_MINISTER,2019-12-10
2153-12_tr_11,Government of Sri Lanka,government,Minister of Healthcare and Indigenous Medical Services,minister,AS_MINISTER,2019-12-10
2153-12_tr_12,Government of Sri Lanka,government,Minister of Information and Communication Technology,minister,AS_MINISTER,2019-12-10
2153-12_tr_13,Government of Sri Lanka,government,"Minister of Higher Education, Technology and Innovation",minister,AS_MINISTER,2019-12-10
2153-12_tr_14,Government of Sri Lanka,government,"Minister of Public Administration, Home Affairs, Provincial Councils & Local Government",minister,AS_MINISTER,2019-12-10
2153-12_tr_15,Government of Sri Lanka,government,"Minister of Mahaweli, Agriculture, Irrigation and Rural Development",minister,AS_MINISTER,2019-12-10
2153-12_tr_16,Government of Sri Lanka,government,"Minister of Internal Trade, Food Security and Consumer Welfare",minister,AS_MINISTER,2019-12-10
2153-12_tr_17,Government of Sri Lanka,government,Minister of Education,minister,AS_MINISTER,2019-12-10
2153-12_tr_18,Government of Sri Lanka,government,Minister of Sports & Youth Affairs,minister,AS_MINISTER,2019-12-10
2153-12_tr_19,Government of Sri Lanka,government,Minister of Roads and Highways,minister,AS_MINISTER,2019-12-10
2153-12_tr_20,Government of Sri Lanka,government,Minister of Ports & Shipping,minister,AS_MINISTER,2019-12-10
2153-12_tr_21,Government of Sri Lanka,government,Minister of Small & Medium Business and Enterprise Development,minister,AS_MINISTER,2019-12-10
2153-12_tr_22,Government of Sri Lanka,government,Minister of Industries and Supply Chain Management,minister,AS_MINISTER,2019-12-10
2153-12_tr_23,Government of Sri Lanka,government,Minister of Transport Services Management,minister,AS_MINISTER,2019-12-10
2153-12_tr_24,Government of Sri Lanka,government,Minister of Power & Energy,minister,AS_MINISTER,2019-12-10
2153-12_tr_25,Government of Sri Lanka,government,Minister of Environment and Wildlife Resources,minister,AS_MINISTER,2019-12-10
2153-12_tr_26,Government of Sri Lanka,government,Minister of Lands & Land Development,minister,AS_MINISTER,2019-12-10
2153-12_tr_27,Government of Sri Lanka,government,Minister of Plantation Industries and Export Agriculture,minister,AS_MINISTER,2019-12-10
2153-12_tr_28,Government of Sri Lanka,government,Minister of Industrial Export and Investment Promotion,minister,AS_MINISTER,2019-12-10
2153-12_tr_29,Government of Sri Lanka,government,Minister of Tourism and Civil Aviation,minister,AS_MINISTER,2019-12-10
2153-12_tr_30,Minister of Defence,minister,Office of the Chief of Defence Staff,department,AS_DEPARTMENT,2019-12-10
2153-12_tr_31,Minister of Defence,minister,Sri Lanka Army,department,AS_DEPARTMENT,2019-12-10
2153-12_tr_32,Minister of Defence,minister,Sri Lanka Navy,department,AS_DEPARTMENT,2019-12-10
2153-12_tr_33,Minister of Defence,minister,Sri Lanka Air Force,department,AS_DEPARTMENT,2019-12-10
2153-12_tr_34,Minister of Defence,minister,Sri Lanka Police,department,AS_DEPARTMENT,2019-12-10
2153-12_tr_35,Minister of Defence,minister,Department of Civil Security,department,AS_DEPARTMENT,2019-12-10
2153-12_tr_36,Minister of Defence,minister,State Intelligence Service,department,AS_DEPARTMENT,2019-12-10
2153-12_tr_37,Minister of Defence,minister,Ranaviru Seva Authority,department,AS_DEPARTMENT,2019-12-10
2153-12_tr_38,Minister of Defence,minister,Sir John Kotelawala Defence University,department,AS_DEPARTMENT,2019-12-10
2153-12_tr_39,Minister of Defence,minister,Defence Services Command and Staff College,department,AS_DEPARTMENT,2019-12-10
2153-12_tr_40,Minister of Defence,minister,Defence Services School,department,AS_DEPARTMENT,2019-12-10
2153-12_tr_41,Minister of Defence,minister,National Cadet Corps,department,AS_DEPARTMENT,2019-12-10
2153-12_tr_42,Minister of Defence,minister,National Defence Fund,department,AS_DEPARTMENT,2019-12-10
2153-12_tr_43,Minister of Defence,minister,Defence Research and Development Centre,department,AS_DEPARTMENT,2019-12-10
2153-12_tr_44,Minister of Defence,minister,Sri Lanka Institute of National Defence Studies,department,AS_DEPARTMENT,2019-12-10
2153-12_tr_45,Minister of Defence,minister,Coast Guard Department of Sri Lanka,department,AS_DEPARTMENT,2019-12-10
2153-12_tr_46,Minister of Defence,minister,Lanka Logistics Limited,department,AS_DEPARTMENT,2019-12-10
2153-12_tr_47,Minister of Defence,minister,Rakna Arakshana Lanka Ltd.,department,AS_DEPARTMENT,2019-12-10
2153-12_tr_48,Minister of Defence,minister,National Dangerous Drugs Control Board,department,AS_DEPARTMENT,2019-12-10
2153-12_tr_49,Minister of Defence,minister,Department of Immigration and Emigration,department,AS_DEPARTMENT,2019-12-10
2153-12_tr_50,Minister of Defence,minister,Department of Registration of Persons,department,AS_DEPARTMENT,2019-12-10
2153-12_tr_51,Minister of Defence,minister,National Media Centre,department,AS_DEPARTMENT,2019-12-10
2153-12_tr_52,Minister of Defence,minister,Secretariat for Non-Governmental Organizations,department,AS_DEPARTMENT,2019-12-10
2153-12_tr_53,Minister of Defence,minister,The Telecommunications Regulatory Commission of Sri Lanka,department,AS_DEPARTMENT,2019-12-10
2153-12_tr_54,Minister of Defence,minister,Information and Communication Technology Agency of Sri Lanka,department,AS_DEPARTMENT,2019-12-10
2153-12_tr_55,Minister of Defence,minister,Sri Lanka Computer Emergency Readiness Team,department,AS_DEPARTMENT,2019-12-10
2153-12_tr_56,Minister of Defence,minister,National Disaster Management Council,department,AS_DEPARTMENT,2019-12-10
2153-12_tr_57,Minister of Defence,minister,Disaster Management Centre,department,AS_DEPARTMENT,2019-12-10
2153-12_tr_58,Minister of Defence,minister,National Disaster Relief Services Centre,department,AS_DEPARTMENT,2019-12-10
2153-12_tr_59,Minister of Defence,minister,Department of Meteorology,department,AS_DEPARTMENT,2019-12-10
2153-12_tr_60,Minister of Defence,minister,National Building Research Organization,department,AS_DEPARTMENT,2019-12-10
2153-12_tr_61,"Minister of Finance, Economic and Policy Development",minister,National Planning Department,department,AS_DEPARTMENT,2019-12-10
2153-12_tr_62,"Minister of Finance, Economic and Policy Development",minister,General Treasury,department,AS_DEPARTMENT,2019-12-10
2153-12_tr_63,"Minister of Finance, Economic and Policy Development",minister,Department of Fiscal Policy,department,AS_DEPARTMENT,2019-12-10
2153-12_tr_64,"Minister of Finance, Economic and Policy Development",minister,Department of National Budget,department,AS_DEPARTMENT,2019-12-10
2153-12_tr_65,"Minister of Finance, Economic and Policy Development",minister,Department of Management Services,department,AS_DEPARTMENT,2019-12-10
2153-12_tr_66,"Minister of Finance, Economic and Policy Development",minister,Department of Public Enterprises,department,AS_DEPARTMENT,2019-12-10
2153-12_tr_67,"Minister of Finance, Economic and Policy Development",minister,Department of External Resources,department,AS_DEPARTMENT,2019-12-10
2153-12_tr_68,"Minister of Finance, Economic and Policy Development",minister,Department of Public Finance,department,AS_DEPARTMENT,2019-12-10
2153-12_tr_69,"Minister of Finance, Economic and Policy Development",minister,Department of Treasury Operations,department,AS_DEPARTMENT,2019-12-10
2153-12_tr_70,"Minister of Finance, Economic and Policy Development",minister,Department of Public Accounts,department,AS_DEPARTMENT,2019-12-10
2153-12_tr_71,"Minister of Finance, Economic and Policy Development",minister,Department of Trade and Investment Policies,department,AS_DEPARTMENT,2019-12-10
2153-12_tr_72,"Minister of Finance, Economic and Policy Development",minister,Department of Development Finance,department,AS_DEPARTMENT,2019-12-10
2153-12_tr_73,"Minister of Finance, Economic and Policy Development",minister,Department of Information Technology Management,department,AS_DEPARTMENT,2019-12-10
2153-12_tr_74,"Minister of Finance, Economic and Policy Development",minister,Office of Comptroller General,department,AS_DEPARTMENT,2019-12-10
2153-12_tr_75,"Minister of Finance, Economic and Policy Development",minister,Department of Legal Affairs,department,AS_DEPARTMENT,2019-12-10
2153-12_tr_76,"Minister of Finance, Economic and Policy Development",minister,Department of Project Management and Supervision,department,AS_DEPARTMENT,2019-12-10
2153-12_tr_77,"Minister of Finance, Economic and Policy Development",minister,Department of Management Auditing,department,AS_DEPARTMENT,2019-12-10
2153-12_tr_78,"Minister of Finance, Economic and Policy Development",minister,Department of Inland Revenue,department,AS_DEPARTMENT,2019-12-10
2153-12_tr_79,"Minister of Finance, Economic and Policy Development",minister,Sri Lanka Customs,department,AS_DEPARTMENT,2019-12-10
2153-12_tr_80,"Minister of Finance, Economic and Policy Development",minister,Department of Imports and Exports,department,AS_DEPARTMENT,2019-12-10
2153-12_tr_81,"Minister of Finance, Economic and Policy Development",minister,Department of Excise,department,AS_DEPARTMENT,2019-12-10
2153-12_tr_82,"Minister of Finance, Economic and Policy Development",minister,Department of Census and Statistics,department,AS_DEPARTMENT,2019-12-10
2153-12_tr_83,"Minister of Finance, Economic and Policy Development",minister,Department of Valuation,department,AS_DEPARTMENT,2019-12-10
2153-12_tr_84,"Minister of Finance, Economic and Policy Development",minister,Department of Registrar Companies,department,AS_DEPARTMENT,2019-12-10
2153-12_tr_85,"Minister of Finance, Economic and Policy Development",minister,Welfare Benefits Board,department,AS_DEPARTMENT,2019-12-10
2153-12_tr_86,"Minister of Finance, Economic and Policy Development",minister,Department of Commerce,department,AS_DEPARTMENT,2019-12-10
2153-12_tr_87,"Minister of Finance, Economic and Policy Development",minister,Central Bank of Sri Lanka,department,AS_DEPARTMENT,2019-12-10
2153-12_tr_88,"Minister of Finance, Economic and Policy Development",minister,Security and Exchange Commission of Sri Lanka,department,AS_DEPARTMENT,2019-12-10
