transaction_id,parent,parent_type,child,child_type,rel_type,date,
transaction_id,parent,parent_type,child,child_type,rel_type,date,description
2412/08_tr_01,Government of Sri Lanka,government,Minister of Defence,minister,minister,2024-11-25,
2412/08_tr_02,Government of Sri Lanka,government,"Minister of Finance, Planning and Economic Development",minister,minister,2024-11-25,
2412/08_tr_03,Government of Sri Lanka,government,Minister of Energy,minister,minister,2024-11-25,
2412/08_tr_04,Government of Sri Lanka,government,"Minister of Agriculture, Livestock, Land, and Irrigation",minister,minister,2024-11-25,
2412/08_tr_05,Government of Sri Lanka,government,Minister of Justice and National Integration,minister,minister,2024-11-25,
2412/08_tr_06,Government of Sri Lanka,government,"Minister of Education, Higher Education and Vocational Education",minister,minister,2024-11-25,
2412/08_tr_07,Government of Sri Lanka,government,Minister of Women and Child Affairs,minister,minister,2024-11-25,
2412/08_tr_08,Government of Sri Lanka,government,"Minister of Trade, Commerce, Food Security and Co-operative Development",minister,minister,2024-11-25,
2412/08_tr_09,Government of Sri Lanka,government,Minister of Health and Mass Media,minister,minister,2024-11-25,
2412/08_tr_10,Government of Sri Lanka,government,"Minister of Buddhasasana, Religious and Cultural Affairs",minister,minister,2024-11-25,
2412/08_tr_11,Government of Sri Lanka,government,"Minister of Transport, Highways, Ports and Civil Aviation",minister,minister,2024-11-25,
2412/08_tr_12,Government of Sri Lanka,government,Minister of Public Security and Parliamentary Affairs,minister,minister,2024-11-25,
2412/08_tr_13,Government of Sri Lanka,government,"Minister of Foreign Affairs, Foreign Employment and Tourism",minister,minister,2024-11-25,
2412/08_tr_14,Government of Sri Lanka,government,Minister of Environment,minister,minister,2024-11-25,
2412/08_tr_15,Government of Sri Lanka,government,"Minister of Urban Development, Construction and Housing",minister,minister,2024-11-25,
2412/08_tr_16,Government of Sri Lanka,government,"Minister of Fisheries, Aquatic and Ocean Resources",minister,minister,2024-11-25,
2412/08_tr_17,Government of Sri Lanka,government,"Minister of Public Administration, Provincial Councils and Local Government",minister,minister,2024-11-25,
2412/08_tr_18,Government of Sri Lanka,government,Minister of Labour,minister,minister,2024-11-25,
2412/08_tr_19,Government of Sri Lanka,government,Minister of Science and Technology,minister,minister,2024-11-25,
2412/08_tr_20,Government of Sri Lanka,government,"Minister of Rural Development, Social Security, and Community Empowerment",minister,minister,2024-11-25,
